trial,target_g,time_s,raw,voltage
8,75,2.870,320,0.0161
8,75,2.921,944,0.0475
8,75,2.973,256,0.0129
9,75,0.001,304,0.0153
9,75,0.052,848,0.0427
9,75,0.104,352,0.0177
9,75,0.155,656,0.0330
9,75,0.206,320,0.0161
9,75,0.257,304,0.0153
9,75,0.308,384,0.0193
9,75,0.359,336,0.0169
9,75,0.410,768,0.0387
9,75,0.462,320,0.0161
9,75,0.513,736,0.0371
9,75,0.564,320,0.0161
9,75,0.615,176,0.0089
9,75,0.667,384,0.0193
9,75,0.718,336,0.0169
9,75,0.769,816,0.0411
9,75,0.821,320,0.0161
9,75,0.872,720,0.0363
9,75,0.923,432,0.0218
9,75,0.974,320,0.0161
9,75,1.026,320,0.0161
9,75,1.077,320,0.0161
9,75,1.128,880,0.0443
9,75,1.180,320,0.0161
9,75,1.231,848,0.0427
9,75,1.282,288,0.0145
9,75,1.333,320,0.0161
9,75,1.384,336,0.0169
9,75,1.435,336,0.0169
9,75,1.486,272,0.0137
9,75,1.537,224,0.0113
9,75,1.589,768,0.0387
9,75,1.640,336,0.0169
9,75,1.691,464,0.0234
9,75,1.742,320,0.0161
9,75,1.794,320,0.0161
9,75,1.845,320,0.0161
9,75,1.896,320,0.0161
9,75,1.947,768,0.0387
9,75,1.999,224,0.0113
9,75,2.050,560,0.0282
9,75,2.101,304,0.0153
9,75,2.152,384,0.0193
9,75,2.204,336,0.0169
9,75,2.255,320,0.0161
9,75,2.306,848,0.0427
9,75,2.357,320,0.0161
9,75,2.408,672,0.0338
9,75,2.459,320,0.0161
9,75,2.510,320,0.0161
9,75,2.562,320,0.0161
9,75,2.613,256,0.0129
9,75,2.664,816,0.0411
9,75,2.715,320,0.0161
9,75,2.767,736,0.0371
9,75,2.818,320,0.0161
9,75,2.869,320,0.0161
9,75,2.920,320,0.0161
9,75,2.971,432,0.0218
10,100,0.000,320,0.0161
10,100,0.051,320,0.0161
10,100,0.103,800,0.0403
10,100,0.154,464,0.0234
10,100,0.205,560,0.0282
10,100,0.256,336,0.0169
10,100,0.308,320,0.0161
10,100,0.359,320,0.0161
10,100,0.410,320,0.0161
10,100,0.461,864,0.0435
10,100,0.513,336,0.0169
10,100,0.564,752,0.0379
10,100,0.615,336,0.0169
10,100,0.666,304,0.0153
10,100,0.718,208,0.0105
10,100,0.769,320,0.0161
10,100,0.820,912,0.0459
10,100,0.872,320,0.0161
10,100,0.923,720,0.0363
10,100,0.974,512,0.0258
10,100,1.025,288,0.0145
10,100,1.076,544,0.0274
10,100,1.127,304,0.0153
10,100,1.178,928,0.0467
10,100,1.229,320,0.0161
10,100,1.281,544,0.0274
10,100,1.332,336,0.0169
10,100,1.383,320,0.0161
10,100,1.435,224,0.0113
10,100,1.486,304,0.0153
10,100,1.537,864,0.0435
10,100,1.588,336,0.0169
10,100,1.639,832,0.0419
10,100,1.690,320,0.0161
10,100,1.741,320,0.0161
10,100,1.792,336,0.0169
10,100,1.844,320,0.0161
10,100,1.895,336,0.0169
10,100,1.946,336,0.0169
10,100,1.997,912,0.0459
10,100,2.049,304,0.0153
10,100,2.100,480,0.0242
10,100,2.151,176,0.0089
10,100,2.202,320,0.0161
10,100,2.253,288,0.0145
10,100,2.304,400,0.0201
10,100,2.355,896,0.0451
10,100,2.407,336,0.0169
10,100,2.458,688,0.0346
10,100,2.509,320,0.0161
10,100,2.560,320,0.0161
10,100,2.612,336,0.0169
10,100,2.663,480,0.0242
10,100,2.714,896,0.0451
10,100,2.765,336,0.0169
10,100,2.817,752,0.0379
10,100,2.868,480,0.0242
10,100,2.919,320,0.0161
10,100,2.970,336,0.0169
11,100,0.000,368,0.0185
11,100,0.052,592,0.0298
11,100,0.103,368,0.0185
11,100,0.154,256,0.0129
11,100,0.206,1024,0.0516
11,100,0.257,160,0.0081
11,100,0.308,816,0.0411
11,100,0.360,320,0.0161
11,100,0.411,272,0.0137
11,100,0.462,352,0.0177
11,100,0.513,400,0.0201
11,100,0.565,336,0.0169
11,100,0.616,192,0.0097
11,100,0.667,976,0.0491
11,100,0.718,320,0.0161
11,100,0.769,656,0.0330
11,100,0.820,304,0.0153
11,100,0.871,336,0.0169
11,100,0.923,256,0.0129
11,100,0.974,320,0.0161
11,100,1.025,928,0.0467
11,100,1.076,304,0.0153
11,100,1.128,640,0.0322
11,100,1.179,320,0.0161
11,100,1.230,336,0.0169
11,100,1.281,320,0.0161
11,100,1.333,496,0.0250
11,100,1.384,912,0.0459
11,100,1.435,272,0.0137
11,100,1.486,688,0.0346
11,100,1.538,320,0.0161
11,100,1.589,320,0.0161
11,100,1.640,320,0.0161
11,100,1.691,320,0.0161
11,100,1.743,848,0.0427
11,100,1.794,608,0.0306
11,100,1.845,704,0.0354
11,100,1.896,320,0.0161
11,100,1.947,336,0.0169
11,100,1.998,320,0.0161
11,100,2.049,400,0.0201
11,100,2.101,1040,0.0524
11,100,2.152,208,0.0105
11,100,2.203,768,0.0387
11,100,2.255,320,0.0161
11,100,2.306,320,0.0161
11,100,2.357,336,0.0169
11,100,2.408,320,0.0161
11,100,2.460,336,0.0169
11,100,2.511,320,0.0161
11,100,2.562,832,0.0419
11,100,2.613,336,0.0169
11,100,2.665,320,0.0161
11,100,2.716,480,0.0242
11,100,2.767,416,0.0209
11,100,2.818,320,0.0161
11,100,2.870,336,0.0169
11,100,2.921,944,0.0475
11,100,2.972,336,0.0169
12,100,0.000,832,0.0419
